state,county,year,hispanic_or_latino_exposure,white_exposure,black_exposure,native_american_exposure,asian_exposure,hawaiian_exposure,some_other_race_alone_exposure,two_more_races_exposure,proportion_high_poverty_neighborhood
1,1,2019,0.9565102243799375,0.21226528708299214,0.7318232616443197,0.9915044732670691,0.9729363619172717,0.9910675594438237,0.9555123250007633,0.9659044155412244,0.0
1,3,2019,0.9224735621985509,0.1253510197483276,0.7927284851609159,0.9780068715702278,0.9711910083274516,0.998262883613202,0.9718383351697496,0.9709350181056948,0.0
1,5,2019,0.9203093597994949,0.5067305029260779,0.49951107956641916,0.9905003809172837,0.9897022550495997,0.9993742177722152,0.9272363209929608,0.9821697561236228,0.2349090909090909
1,7,2019,0.9620170797661525,0.20206790908028138,0.6798859405201473,0.9967331808490606,0.9971977166580176,0.0,0.9990659055526725,0.9906275861900553,0.0
1,9,2019,0.8461908947109686,0.044933602529899905,0.9719554734282656,0.9966593310879542,0.9945167179238529,0.9935367114788004,0.9731106351665779,0.9784507919653785,0.0
1,11,2019,0.9303076914912227,0.6950583091034419,0.20995896504393258,0.0,0.9914000687994496,0.0,0.9298852866286569,0.9726795096322242,0.0
1,13,2019,0.9680308624142081,0.408666443323276,0.457971829144127,0.9964554875176637,0.9825975933606682,0.0,0.9888469862923854,0.95898578053729,0.0
1,15,2019,0.885526586786078,0.20927117109258775,0.610495999790554,0.9819542484622916,0.973751242883039,0.9957920048091373,0.8777919091539075,0.9583966187242198,0.10280935449947419
1,17,2019,0.9260530641004086,0.3934304785710617,0.5586826643241024,0.9937110811011436,0.9728118858525314,0.0,0.9878215948415938,0.9774359213087482,0.0
1,19,2019,0.9781549281378461,0.0700443766150995,0.9283645089079344,0.970712062026255,0.9941116745366545,0.0,0.9903749448037188,0.9816783981089311,0.0
1,21,2019,0.8368256395466185,0.1532526256259295,0.8322948558115435,0.9689943067737338,0.9752186613783651,0.0,0.931161584612388,0.9531397182014654,0.0
1,23,2019,0.990266063933654,0.30525427635900637,0.4085675424405879,0.9991547448527595,0.9971412444867077,0.0,0.9978262762198852,0.9951068758091415,0.0
1,25,2019,0.9864985812365965,0.4461599666050695,0.5132619514356251,0.9975472337849087,0.9920069714694639,0.0,0.0,0.9712855433691532,0.0
1,27,2019,0.9316804636489623,0.16654067513979737,0.8324877317656794,0.9881167387826315,0.9950476231832824,0.0,0.9967014843320505,0.9894423596494586,0.0
1,29,2019,0.9351072610863204,0.06095737181014234,0.9582294441298953,0.998081825396232,0.9989949748743718,0.0,0.9558791161372645,0.96968857717542,0.0
1,31,2019,0.8822650207222972,0.2235121199265485,0.7473182238369251,0.9795444100968105,0.9700231322639499,0.0,0.9739565305174767,0.9596571004415814,0.0
1,33,2019,0.9543268146089856,0.1884165453678997,0.7366331089126589,0.9890870427321236,0.990343041438093,0.9923404021276355,0.9669668458125079,0.9736645741527716,0.10715137067938021
1,35,2019,0.9609824444432038,0.4540627137464267,0.47854408439405643,0.9847931873479319,0.9840899521185726,0.0,0.9988931931377975,0.9650947972183944,0.0
1,37,2019,0.9847875011068857,0.23217224758746088,0.4457708878670412,0.9975747776879548,0.0,0.0,0.9851791969819456,0.0,0.0
1,39,2019,0.9762845853242124,0.13770729260587453,0.7581011493206206,0.9965917202685757,0.9884316490699574,0.9897652016857315,0.9770236164631755,0.9841267560500466,0.0
1,41,2019,0.9900193217355319,0.28214533691350563,0.7556854961841167,0.9794287262244651,0.9550359712230215,0.9954522486104093,0.9949024086854202,0.952770947388809,0.0
1,43,2019,0.933330984278128,0.048062006245914016,0.9518005601798606,0.9884817917884496,0.9849872430842226,0.0,0.976496110475126,0.9565500876665618,0.0
1,45,2019,0.8940678853073961,0.24864557131504797,0.7090455249587359,0.9865598861436875,0.9749508400546085,0.9984859954579863,0.9407436278437479,0.9587126943395885,0.0
1,47,2019,0.9529331865439967,0.5315945834132072,0.21883694035451226,0.9941143612831147,0.9688963035602278,0.994498297091957,0.9894818854694195,0.9884975782665457,0.4086040699750089
1,49,2019,0.7598025094364581,0.13786625251636334,0.9666665726610274,0.978620366203733,0.9940043256909195,0.9463656742168834,0.8610138081016002,0.9690331475452714,0.0
1,51,2019,0.9396408027791349,0.23340269761892352,0.7487201512379162,0.9881317599748146,0.980900232696583,0.0,0.9803006766170498,0.9750248506577097,0.0
1,53,2019,0.9540459593632133,0.32194221092561387,0.5803543097474069,0.8588988522318027,0.9838294288585092,0.9873679375287092,0.988618248632503,0.9807534600654336,0.0
1,55,2019,0.8953337945146065,0.13940536064639417,0.553184089530394,0.9361437509202604,0.961586704049141,0.9962631102018624,0.9481872862894672,0.9716123262026851,0.12436879432624114
1,57,2019,0.9671786009306504,0.13356137347740546,0.7991009713088633,0.0,0.9934015721472275,0.9983502238981853,0.0,0.9718140304280956,0.0
1,59,2019,0.6857040575160137,0.14465810427498854,0.908637293162326,0.9685141506067843,0.9799293406043315,0.0,0.8143571738646371,0.9393769136429102,0.0
1,61,2019,0.9564802231246822,0.13144723165366085,0.8781852051042779,0.9811477372686062,0.984480178427888,0.9973021582733813,0.9804883290582758,0.9748766227263946,0.0
1,63,2019,0.9340165353247066,0.8094353823515732,0.203554471802895,0.9855750487329434,0.0,0.0,0.9980059820538385,0.9336584942902795,0.37070063694267513
1,65,2019,0.998162609095085,0.5171531290416683,0.3477260485261265,0.9914627205463858,0.9906089926010244,0.0,0.9937451133698202,0.9911258616361327,0.18739352640545145
