fips_keys,final_2019_crimes,crime_rate
1001,64.7442207963435,116.90902996811755
1003,334.0,156.9327632382653
1005,79.0,311.50191238515833
1007,24.489408088843245,108.87568616388764
1009,157.0,272.18668192299026
1011,24.0,234.192037470726
1013,36.61535596797219,184.66489796233708
1015,331.01914109981294,288.80205648311164
1017,84.0,249.55436720142603
1019,64.59873679446164,249.38708564437184
1021,32.044810029244196,72.73819096412257
1023,3.0,23.21083172147002
1025,36.0,149.20424403183023
1027,35.0,262.4278323461048
1029,12.0,80.45052292839902
1031,58.291542416707124,112.83253148679324
1033,71.0,129.6306439539172
1035,32.38464403202781,261.2929161854753
1037,34.0,316.0732546248954
1039,78.0,209.6774193548387
1041,27.0,195.03033805258596
1043,70.53266739870921,85.12988956188576
1045,239.14122676371272,485.29988993589853
1047,116.0,296.30386472195966
1049,103.40126320553836,145.00247259225685
1051,121.59607587128193,149.85220826097054
1053,80.0,215.8836387187306
1055,228.9799223465365,222.8558437600114
1057,11.913589301121657,72.22983691719206
1059,45.0,143.01150448102715
1061,56.0,211.9847068175796
1063,33.0,396.4440172993753
1065,5.0,33.763252076440004
1067,70.04841273551826,408.85083018454594
1069,303.5188180840619,289.88827155552127
1071,98.0,188.99946000154284
1073,1202.4384520771482,182.27602050648014
1075,9.0,64.81814908174289
1077,160.0,172.86831755909935
1079,30.868399104228644,93.37648709609971
1081,420.6481670804732,261.02571924671935
1083,266.38203369802176,281.21025019057055
1085,16.0,158.7459073320766
1087,82.0,438.3151592901433
1089,1027.2086178865347,283.5431046733801
1091,52.0,269.13720821903627
1093,32.08641069887834,107.43457677251168
1095,92.26897682910354,96.47227379850438
1097,328.0,79.2052430007196
1099,7.0,32.91020216267043
1101,242.0,106.63564538800833
1103,134.54094931121494,112.85761562179876
1105,14.0,150.65102765522434
1107,16.0,79.03966803339426
1109,133.0,399.00399003990043
1111,14.0,61.818342385304895
1113,70.3518329195268,121.3967299135954
1115,240.4792215598024,273.30600593233515
1117,306.6197978382412,143.66158675280238
1119,39.0,304.75892787372044
1121,292.1992923258378,363.490729005732
1123,248.6597033323746,613.3536502118216
1125,568.6625841601576,274.31204464926446
1127,152.26572624656325,237.50698213471105
1129,20.0,120.91167402212683
1131,24.0,224.69806197921542
1133,52.0,218.6343760511268
2013,0,0.0
2016,7.0,122.85012285012284
2020,3581.0,1219.9733588615852
2050,130.0,716.8854086246829
2060,2.0,228.57142857142858
2070,56.0,1128.804676476517
2090,263.0,265.4635012919897
2100,9.0,357.4265289912629
2105,0,0.0
2110,289.0,896.7635833307475
2122,109.0,186.43951833607005
2130,40.0,289.8550724637681
2150,49.0,364.28518325775036
