FIPS,Total_Juvenile_Arrests
13129,201.0
13131,0.0
13133,0.0
13135,2475.0
13137,0.0
13139,498.0
13141,0.0
13143,0.0
13145,0.0
13147,0.0
13149,0.0
13151,712.0
13153,2037.0
13155,0.0
13157,0.0
13159,0.0
13161,0.0
13163,0.0
13165,0.0
13167,0.0
13169,0.0
13171,0.0
13173,0.0
13175,0.0
13177,0.0
13179,0.0
13181,0.0
13183,0.0
13185,0.0
13187,0.0
13189,0.0
13191,0.0
13193,0.0
13195,0.0
13197,0.0
13199,0.0
13201,0.0
13205,0.0
13207,0.0
13209,0.0
13211,0.0
13213,107.5
13215,1239.0
13217,527.0
13219,0.0
13221,0.0
13223,0.0
13225,0.0
13227,0.0
13229,0.0
13231,0.0
13233,30.0
13235,0.0
13237,0.0
13239,0.0
13241,0.0
13243,0.0
13245,0.0
13247,398.5
13249,0.0
13251,0.0
13253,0.0
13255,277.0
13257,0.0
13259,0.0
13261,0.0
13263,0.0
13265,0.0
13267,0.0
13269,0.0
13271,0.0
13273,0.0
13275,141.5
13277,129.0
13279,0.0
13281,0.0
13283,0.0
13285,282.0
13287,0.0
13289,0.0
13291,0.0
13293,154.0
13295,228.0
13297,346.0
13299,97.0
13301,0.0
13303,0.0
13305,0.0
13307,0.0
13309,0.0
13311,0.0
13313,528.0
13315,0.0
13317,0.0
13319,0.0
13321,0.0
15001,1318.0
15003,2325.0
15005,0.0
15007,383.0
15009,730.0
17001,56.0
17003,0.0
17005,6.0
17007,135.0
17009,0.0
17011,0.0
17013,2.5
17015,0.0
17017,9.0
17019,167.0
17021,34.0
17023,2.5
17025,24.5
17027,80.0
17029,0.0
17031,3729.0
17033,23.0
17035,2.5
17037,162.0
17039,0.0
17041,17.5
17043,587.0
17045,0.0
17047,2.5
17049,87.0
17051,24.5
17053,5.0
17055,46.5
17057,37.0
17059,5.0
17061,14.0
17063,70.0
17065,10.0
17067,15.0
17069,0.0
17071,5.0
17073,47.5
17075,10.0
17077,94.5
17079,22.5
17081,45.0
17083,2.5
17085,2.5
17087,11.0
17089,349.0
17091,228.0
17093,175.0
17095,77.0
17097,710.0
17099,138.0
17101,8.0
17103,28.5
17105,5.0
17107,16.0
17109,35.5
17111,193.5
17113,225.0
17115,161.0
17117,20.0
17119,338.0
17121,98.0
17123,6.0
17125,15.0
17127,23.5
17129,2.5
17131,2.5
17133,2.5
17135,19.0
17137,2.5
17139,13.0
17141,22.0
17143,464.0
17145,2.5
17147,14.0
17149,0.0
17151,2.5
17153,0.0
17155,0.0
17157,15.0
17159,61.0
17161,163.0
17163,186.0
17165,41.0
17167,278.0
17169,6.0
17171,0.0
17173,18.0
17175,5.0
17177,57.0
17179,63.5
17181,0.0
17183,123.0
17185,2.5
17187,0.0
17189,2.5
17191,11.0
17193,61.5
17195,50.0
17197,448.0
17199,60.0
17201,322.0
17203,19.0
18001,94.0
18003,3326.0
18005,138.0
18007,22.5
18009,30.0
18011,235.0
18013,30.5
18015,26.0
18017,152.0
18019,376.5
18021,68.0
18023,90.0
18025,30.5
18027,143.0
18029,128.0
18031,115.0
18033,85.5
18035,147.0
18037,103.0
18039,735.0
18041,42.0
18043,179.5
18045,32.0
18047,126.5
18049,35.5
18051,47.0
18053,181.5
18055,93.5
18057,390.0
18059,53.5
18061,192.0
18063,272.0
18065,81.5
18067,270.0
18069,121.5
18071,93.5
18073,76.5
18075,18.5
18077,34.0
18079,124.0
18081,528.0
18083,91.5
18085,122.5
18087,130.0
18089,1111.0
18091,350.5
18093,125.0
18095,503.0
18097,2135.0
18099,128.0
18101,24.5
18103,67.5
18105,139.0
18107,23.0
18109,144.0
18111,25.5
18113,120.5
18115,17.5
18117,55.5
18119,141.0
18121,50.5
18123,19.0
18125,28.0
18127,410.0
18129,44.5
18131,28.0
18133,99.0
18135,34.5
18137,40.0
18139,53.0
18141,536.0
18143,56.0
18145,131.0
18147,35.5
18149,17.5
18151,36.5
18153,84.0
18155,23.5
18157,545.0
18159,16.5
18161,27.0
18163,348.0
18165,43.0
18167,288.5
18169,53.5
18171,5.0
18173,331.0
18175,71.0
18177,92.0
18179,93.0
18181,46.5
18183,84.5
19001,7.5
19003,20.0
19005,30.5
19007,40.0
19009,10.5
19011,51.0
19013,508.0
19015,78.0
19017,114.0
19019,62.0
19021,98.0
19023,27.5
19025,17.5
19027,51.0
19029,45.0
19031,39.5
19033,176.0
19035,22.0
19037,34.0
19039,42.0
19041,49.0
19043,16.5
19045,121.0
19047,47.0
19049,284.0
19051,11.0
19053,11.5
19055,29.0
19057,326.0
19059,17.5
19061,497.0
19063,33.0
19065,64.0
19067,36.0
19069,17.5
19071,11.5
19073,34.5
19075,29.0
19077,27.0
19079,42.5
19081,17.5
19083,111.0
19085,33.0
19087,128.0
19089,13.5
19091,25.0
19093,16.0
19095,14.0
19097,42.5
19099,66.0
19101,27.0
19103,270.0
19105,37.5
19107,21.5
19109,38.0
19111,129.0
19113,1379.0
19115,26.5
19117,27.0
19119,17.5
19121,43.0
19123,56.0
19125,103.0
19127,139.0
19129,54.0
19131,28.0
19133,21.0
19135,38.0
19137,35.0
19139,121.0
19141,54.0
19143,24.0
19145,22.0
19147,33.5
19149,59.0
19151,21.5
19153,2366.0
19155,540.0
19157,45.0
19159,9.5
19161,17.0
19163,841.0
19165,15.5
19167,81.0
19169,206.0
19171,66.0
19173,5.0
19175,65.0
19177,8.5
19179,214.0
19181,156.0
19183,118.0
19185,10.0
19187,154.0
19189,35.5
19191,29.0
19193,641.0
19195,20.0
19197,47.0
20001,56.0
20003,20.0
20005,89.0
20007,8.0
20009,91.0
20011,17.0
20013,33.0
20015,92.0
20017,0.0
20019,2.5
20021,25.0
20023,2.5
20025,2.5
20027,31.0
20029,33.0
20031,12.0
20033,0.0
20035,42.0
20037,87.0
20039,0.0
20041,96.0
20043,6.0
20045,165.0
20047,2.5
20049,2.5
20051,51.0
20053,6.0
20055,93.0
20057,80.0
20059,87.0
20061,186.0
20063,0.0
20065,5.0
20067,18.0
20069,7.0
20071,2.5
20073,10.0
20075,2.5
20077,10.0
20079,117.0
20081,9.0
20083,2.5
20085,23.0
20087,23.0
20089,9.0
20091,1716.0
20093,5.0
20095,8.0
20097,7.0
20099,40.0
20101,2.5
20103,202.0
20105,2.5
20107,11.0
20109,2.5
20111,78.0
20113,29.0
20115,26.0
20117,62.0
20119,9.0
20121,15.0
20123,13.0
20125,105.0
20127,8.0
20129,10.0
20131,16.0
20133,91.0
20135,2.5
20137,8.0
20139,8.0
20141,2.5
20143,7.0
20145,28.0
20147,7.0
20149,38.0
20151,19.0
20153,10.0
20155,189.0
20157,8.0
20159,17.0
20161,79.0
20163,2.5
20165,19.0
20167,16.0
20169,276.0
20171,6.0
20173,902.0
20175,87.0
20177,309.0
20179,0.0
20181,22.0
20183,2.5
20185,14.0
20187,2.5
20189,2.5
20191,52.0
20193,11.0
20195,9.0
20197,5.0
20199,0.0
20201,10.0
20203,0.0
20205,20.0
20207,5.0
20209,432.0
23001,177.0
23003,66.0
23005,318.0
23007,43.0
23009,41.0
23011,105.0
23013,51.0
23015,34.0
23017,46.0
23019,135.0
23021,2.5
23023,69.0
23025,54.0
23027,56.0
23029,27.0
23031,225.0
24001,425.5
24003,2085.0
24005,3142.5
24009,420.0
24011,171.0
24013,303.0
24015,483.5
24017,663.0
24019,401.0
24021,793.5
24023,185.5
24025,504.0
24027,537.0
24029,108.0
