FIPS,Total_Juvenile_Arrests
42061,66.0
42063,95.0
42065,36.5
42067,25.5
42069,334.0
42071,847.0
42073,139.0
42075,227.0
42077,677.0
42079,598.0
42081,329.0
42083,99.0
42085,186.5
42087,76.0
42089,195.5
42091,986.5
42093,27.5
42095,745.0
42097,233.5
42099,62.5
42101,2195.5
42103,69.0
42105,35.5
42107,245.0
42109,64.5
42111,73.0
42113,2.5
42115,37.0
42117,47.0
42119,17.0
42121,168.0
42123,63.0
42125,398.0
42127,39.0
42129,607.0
42131,45.0
42133,1167.5
44001,0.0
44003,460.0
44005,176.0
44007,2141.0
44009,278.0
45001,48.5
45003,414.0
45005,39.5
45007,482.0
45009,20.0
45011,112.0
45013,380.0
45015,700.0
45017,44.5
45019,1161.0
45021,216.0
45023,112.5
45025,130.5
45027,61.0
45029,104.5
45031,229.0
45033,173.5
45035,645.5
45037,61.5
45039,78.0
45041,474.0
45043,115.5
45045,1341.0
45047,342.0
45049,76.5
45051,1177.0
45053,91.0
45055,130.0
45057,214.5
45059,149.0
45061,20.0
45063,640.0
45065,7.5
45067,221.5
45069,126.5
45071,140.0
45073,113.0
45075,304.0
45077,260.0
45079,800.5
45081,54.0
45083,417.0
45085,374.0
45087,179.5
45089,77.0
45091,706.0
46003,5.0
46005,96.0
46007,35.0
46009,22.0
46011,91.0
46013,101.0
46015,33.0
46017,0.0
46019,69.0
46021,0.0
46023,63.0
46025,2.5
46027,35.5
46029,116.0
46031,0.0
46033,8.5
46035,97.0
46037,27.0
46039,12.0
46041,0.0
46043,9.5
46045,5.0
46047,42.0
46049,5.0
46051,9.5
46053,5.0
46055,0.0
46057,11.5
46059,2.5
46061,5.0
46063,2.5
46065,85.0
46067,21.0
46069,2.5
46071,5.0
46073,2.5
46075,2.5
46077,5.0
46079,12.0
46081,123.0
46083,132.0
46085,5.0
46087,8.5
46089,9.5
46091,2.5
46093,92.0
46095,8.5
46097,5.0
46099,1738.0
46101,47.0
46103,896.0
46105,2.5
46107,5.0
46109,97.0
46111,5.0
46113,0.0
46115,32.0
46117,12.5
46119,9.5
46121,0.0
46123,28.0
46125,29.0
46127,63.0
46129,12.0
46135,122.0
46137,0.0
47001,448.0
47003,403.0
47005,34.5
47007,0.0
47009,0.0
47011,757.5
47013,0.0
47015,34.0
47017,100.5
47019,0.0
47021,255.0
47023,126.0
47025,139.0
47027,59.0
47029,0.0
47031,0.0
47033,56.0
47035,227.0
47037,2672.5
47039,0.0
47041,38.0
47043,216.0
47045,301.0
47047,143.5
47049,0.0
47051,263.0
47053,377.0
47055,203.0
47057,61.0
47059,340.0
47061,91.5
47063,535.0
47065,2522.0
47067,0.0
47069,113.5
47071,174.0
47073,284.0
47075,0.0
47077,371.0
47079,81.0
47081,178.5
47083,59.0
47085,55.0
47087,0.0
47089,218.0
47091,0.0
47093,1689.0
47095,54.5
47097,186.0
47099,0.0
47101,0.0
47103,378.0
47105,346.0
47107,404.0
47109,48.5
47111,297.0
47113,284.0
47115,0.0
47117,0.0
47119,600.0
47121,0.0
47123,312.0
47125,1340.0
47127,0.0
47129,56.5
47131,51.0
47133,51.5
47135,0.0
47137,19.0
47139,116.5
47141,673.0
47143,0.0
47145,184.0
47147,290.0
47149,756.0
47151,0.0
47153,48.0
47155,559.0
47157,3221.0
47159,0.0
47161,62.5
47163,678.0
47165,916.0
47167,334.0
47169,59.5
47171,67.0
47173,36.0
47175,23.0
47177,0.0
47179,590.0
47181,103.0
47183,0.0
47185,117.0
47187,1173.0
47189,517.0
48001,35.0
48003,57.0
48005,183.0
48007,32.0
48009,2.5
48011,0.0
48013,104.5
48015,40.0
48017,26.0
48019,30.5
48021,245.0
48023,2.5
48025,69.0
48027,611.5
48029,4128.0
48031,2.5
48033,0.0
48035,25.5
48037,171.0
48039,925.5
48041,595.0
48043,8.5
48045,0.0
48047,33.0
48049,68.5
48051,25.5
48053,95.5
48055,148.5
48057,64.0
48059,33.0
48061,1280.0
48063,13.0
48065,9.5
48067,20.0
48069,0.0
48071,9.0
48073,55.0
48075,17.0
48077,11.5
48079,2.5
48081,2.5
48083,12.5
48085,1158.5
48087,0.0
48089,29.0
48091,253.0
48093,24.0
48095,2.5
48097,73.0
48099,136.5
48101,2.5
48103,5.0
48105,2.5
48107,2.5
48109,2.5
48111,5.0
48113,3945.0
48115,39.0
48117,63.0
48119,2.5
48121,972.0
48123,57.0
48125,2.5
48127,14.5
48129,2.5
48131,20.5
48133,13.5
48135,557.5
48137,2.5
48139,193.0
48141,1737.5
48143,30.0
48145,36.5
48147,46.5
48149,24.0
48151,0.0
48153,8.5
48155,2.5
48157,1238.0
48159,8.5
48161,26.0
48163,22.0
48165,61.0
48167,849.0
48169,5.0
48171,38.5
48173,0.0
48175,12.5
48177,40.5
48179,48.0
48181,241.0
48183,174.0
48185,26.5
48187,333.0
48189,83.0
48191,2.5
48193,7.5
48195,5.0
48197,5.0
48199,81.0
48201,7103.0
48203,149.5
48205,5.0
48207,7.5
48209,445.0
48211,5.0
48213,92.5
48215,1591.0
48217,59.0
48219,10.5
48221,107.5
48223,46.5
48225,29.0
48227,97.0
48229,0.0
48231,118.5
48233,55.0
48235,2.5
48237,13.0
48239,34.0
48241,55.0
48243,0.0
48245,450.0
48247,5.0
48249,237.0
48251,233.0
48253,14.5
48255,38.0
48257,182.0
48259,55.0
48261,0.0
48263,0.0
48265,72.0
48267,8.5
48269,0.0
48271,5.0
48273,116.0
48275,0.0
48277,64.0
48279,18.0
48281,41.0
48283,10.5
48285,25.0
48287,15.5
48289,15.5
48291,60.0
48293,30.5
48295,5.0
48297,13.0
48299,27.5
48301,0.0
48303,1159.5
48305,5.0
48307,15.0
48309,749.0
48311,2.5
48313,5.0
48315,11.0
48317,2.5
48319,2.5
48321,68.0
48323,78.5
48325,50.0
48327,2.5
48329,575.0
48331,59.5
48333,2.5
48335,5.0
48337,25.0
48339,1117.0
48341,42.5
48343,7.5
48345,0.0
48347,100.0
48349,106.0
48351,14.0
48353,109.0
48355,1382.0
48357,12.0
48359,0.0
48361,77.0
48363,28.0
48365,19.0
48367,174.0
48369,2.5
48371,37.0
48373,90.5
48375,539.5
48377,2.5
48379,5.0
48381,337.5
48383,0.0
48385,6.0
48387,23.0
48389,52.0
48391,6.0
48393,0.0
48395,28.0
48397,98.0
48399,5.0
48401,49.5
48403,7.5
48405,7.5
48407,47.0
48409,129.5
48411,5.0
48413,8.5
48415,52.5
48417,0.0
48419,17.5
48421,7.5
48423,406.5
48425,7.5
48427,190.0
48429,15.5
48431,2.5
48433,0.0
48435,0.0
48437,29.5
48439,3614.0
48441,356.0
48443,0.0
48445,48.0
48447,0.0
48449,53.0
48451,448.0
48453,2209.0
48455,20.0
48457,29.0
48459,22.0
48461,5.0
48463,85.0
48465,112.0
48467,33.0
48469,386.0
48471,107.0
48473,33.0
48475,51.0
48477,57.5
48479,1233.0
48481,106.0
48483,2.5
48485,470.0
48487,26.0
48489,48.5
48491,756.0
48493,71.5
48495,23.0
48497,79.0
48499,64.5
48501,14.0
48503,21.0
48505,93.5
48507,12.0
49001,48.0
49003,359.0
49005,813.0
49007,215.0
49009,2.5
49011,1227.0
49013,208.5
49015,70.5
49017,21.5
49019,45.0
49021,290.0
49023,56.5
49025,43.0
49027,72.0
49029,20.0
49031,10.5
49033,7.5
49035,4967.0
49037,61.5
49039,146.5
49041,170.0
49043,126.5
49045,549.0
49047,348.0
49049,2124.0
49051,196.5
49053,992.0
49055,7.5
49057,1439.0
50001,30.5
50003,92.5
50005,20.0
50007,200.5
50009,2.5
50011,131.5
50013,8.0
50015,35.5
50017,41.5
50019,45.0
50021,118.0
50023,90.5
50025,63.0
50027,84.5
51001,104.0
51003,275.0
51005,125.0
51007,38.5
51009,121.0
51011,122.0
51013,535.0
51015,295.0
51017,11.0
51019,443.0
51021,40.0
51023,140.0
51025,42.5
51027,139.0
51029,62.0
51031,151.0
51033,134.0
51035,148.0
51036,10.0
51037,32.0
51041,1727.0
51043,29.5
51045,30.0
51047,247.0
51049,30.0
51051,121.0
51053,68.0
51057,61.0
51059,1896.0
51061,165.0
51063,48.5
51065,59.5
51067,433.0
51069,283.0
51071,72.0
51073,94.0
51075,45.0
51077,45.0
51079,77.0
51081,39.5
51083,181.0
51085,459.0
51087,1422.0
51089,179.0
51091,12.5
51093,77.5
51095,298.0
51097,13.0
51099,65.5
51101,46.0
51103,60.5
51105,178.0
51107,1051.0
51109,168.0
51111,124.0
51113,48.0
51115,41.0
51117,154.0
51119,40.0
51121,282.0
51125,137.0
51127,112.0
51131,96.5
51133,47.0
51135,78.0
51137,138.0
51139,117.5
51141,42.0
51143,216.0
51145,61.0
51147,78.5
51149,90.5
51153,1934.0
51155,187.0
51157,22.0
51159,7.5
51161,495.0
51163,143.0
51165,246.0
51167,109.0
51169,114.0
51171,442.0
51173,143.0
51175,46.0
51177,327.0
51179,589.0
51181,7.5
51183,44.0
51185,244.0
51187,245.5
51191,137.0
51193,84.5
51195,294.0
51197,175.0
51199,214.0
51510,403.0
51520,102.0
51530,90.0
51540,120.0
51550,871.0
51570,284.0
51580,42.0
51590,367.0
51595,63.0
51600,0.0
51610,51.0
51620,40.5
51630,223.0
51640,64.0
51650,1019.0
51660,229.0
51670,279.5
51678,15.5
51680,610.0
51683,349.0
51685,82.5
51690,128.0
51700,995.0
51710,938.0
51720,64.0
51730,202.0
51735,49.0
51740,461.0
51750,67.0
51760,1090.0
51770,794.0
51775,180.0
51790,202.0
51800,430.0
51810,1313.0
51820,176.0
51830,36.5
51840,213.0
53001,157.0
53003,184.0
53005,1526.0
53007,521.0
53009,627.0
53011,2454.0
53013,18.0
53015,1045.0
53017,300.0
53019,42.5
53021,837.0
53023,2.5
53025,978.0
53027,570.0
53029,213.5
53031,65.5
53033,0.0
53035,773.0
53037,162.0
53039,137.0
53041,742.0
53043,87.5
53045,245.5
53047,422.0
53049,109.0
53051,103.0
53053,3940.0
53055,32.0
53057,823.0
53059,53.5
53061,2976.0
53063,4473.0
53065,262.0
53067,1476.0
53069,5.0
53071,430.0
53073,892.0
53075,130.5
53077,1487.0
54001,9.0
54003,133.5
54005,290.0
54007,9.5
54009,96.0
54011,534.0
54013,34.0
54015,2.5
54017,5.0
54019,6.0
54021,2.5
54023,7.0
54025,102.5
54027,24.5
54029,57.0
54031,26.0
54033,199.0
54035,449.0
54037,60.5
54039,1299.0
54041,12.0
54043,31.5
54045,15.0
54047,2.5
54049,137.5
54051,110.0
54053,524.0
54055,97.0
54057,41.5
54059,8.5
54061,180.0
54063,19.5
54065,51.0
54067,34.0
54069,22.5
54071,19.0
54073,20.0
54075,12.0
54077,24.0
54079,130.0
54081,213.0
54083,268.0
54085,15.0
54087,395.5
54089,14.5
54091,13.0
54093,5.0
54095,5.0
54097,28.0
54099,183.0
54101,2.5
54103,16.0
54105,17.0
54107,196.5
54109,46.0
55001,140.0
55003,110.0
55005,59.0
55007,35.0
55009,248.0
55011,28.0
55013,45.0
55015,75.0
55017,177.0
55019,110.0
55021,92.0
55023,52.0
55025,581.0
55027,139.0
55029,67.0
55031,356.0
55033,281.0
55035,280.0
55037,10.5
55039,148.0
55041,102.0
55043,212.0
55045,174.0
55047,23.0
55049,59.0
55051,12.5
55053,60.0
55055,69.0
55057,20.0
55059,426.0
55061,66.0
55063,71.0
55065,38.0
55067,248.0
55069,55.0
55071,178.0
55073,264.0
55075,69.0
55077,34.0
55078,0.0
55079,969.0
55081,84.0
55083,56.0
55085,349.0
55087,451.0
55089,56.5
55091,11.5
55093,50.0
55095,88.0
55097,172.0
55099,83.0
55101,361.0
55103,33.0
55105,681.0
55107,40.0
55109,132.0
55111,568.0
55113,124.0
55115,237.0
55117,276.0
55119,64.0
55121,85.0
55123,32.0
55125,100.0
55127,77.5
55129,43.0
55131,164.0
55133,247.0
55135,156.0
55137,113.0
55139,863.0
55141,79.0
56001,27.0
56003,10.0
56005,102.0
56007,21.0
56009,22.0
56011,10.5
56013,55.0
56015,20.0
56017,2.5
56019,8.0
56021,116.0
56023,9.5
56025,64.5
56027,2.5
56029,19.5
56031,25.0
56033,14.5
56035,5.0
56037,103.0
56039,14.5
56041,18.5
56043,12.5
56045,7.5
