"Easy Access to State and County Juvenile Court Case Counts"

"Counties in state: 3"

,"2019 Population Estimates",,,"Delinquency",,"Status",,"Dependency",,
"Reporting Counties","Total","10 Through Upper Age","0 Through Upper Age","Petition","Non-petition","Petition","Non-petition","Petition","Non-petition","All Reported Cases"
"Kent","180,800","18,600","41,200","1,121","--","--","--","--","--","--"
"New Castle","558,800","54,500","119,400","2,262","--","--","--","--","--","--"
"Sussex","234,200","19,400","42,900","881","--","--","--","--","--","--"

"Number of Reported Cases",,,,"4,264","--","--","--","--","--","--"
"Population Represented","973,800","92,500","203,600","92,500","--","--","--","--","--","--"
"Rates for Reporting Counties",,,,"46.08","--","--","--","--","--","--"
"Number of Reporting Counties",,,,"3","--","--","--","--","--","--"

"--","Data are either not available or are not reliable for publication."
"Source: Delaware Family Court, Administrative Office of the Courts"
"Mode: 2019 Annual Report of the Delaware Judiciary"
"1. Delinquency figures are cases disposed in fiscal year 2019."
"2. Delinquency figures include traffic cases."

"Suggested citation:Hockenberry, S., Smith, J., and Kang, W. (2021)."
"Easy Access to State and County Juvenile Court Case Counts, 2019. Online. Available: https://www.ojjdp.gov/ojstatbb/ezaco/."
