"Easy Access to State and County Juvenile Court Case Counts"

"Counties in state: 105"

,"2018 Population Estimates",,,"Delinquency",,"Status",,"Dependency",,
"Reporting Counties","Total","10 Through Upper Age","0 Through Upper Age","Petition","Non-petition","Petition","Non-petition","Petition","Non-petition","All Reported Cases"
"Trego","2,800","200","500","9","--","--","--","--","--","--"
"Wabaunsee","6,900","800","1,600","5","--","--","--","--","--","--"
"Wallace","1,500","200","400","0","--","--","--","--","--","--"
"Washington","5,400","500","1,200","10","--","--","--","--","--","--"
"Wichita","2,100","200","500","0","--","--","--","--","--","--"
"Wilson","8,700","1,000","2,100","20","--","--","--","--","--","--"
"Woodson","3,200","300","700","5","--","--","--","--","--","--"
"Wyandotte","165,300","19,800","46,100","432","--","--","--","--","--","--"

"Number of Reported Cases",,,,"6,747","--","--","--","--","--","--"
"Population Represented","2,911,500","319,000","706,000","319,000","--","--","--","--","--","--"
"Rates for Reporting Counties",,,,"21.15","--","--","--","--","--","--"
"Number of Reporting Counties",,,,"105","--","--","--","--","--","--"

"*Denotes case counts greater than zero and less than five."

"--","Data are either not available or are not reliable for publication."
"Source: Supreme Court of Kansas, Office of Judicial Administration"
"Mode: Annual Report of the Courts of Kansas"
"1. Delinquency figures are juvenile offender filings disposed for fiscal year 2018."

"Suggested citation:Hockenberry, S., Smith, J., and Kang, W. (2021)."
"Easy Access to State and County Juvenile Court Case Counts, 2019. Online. Available: https://www.ojjdp.gov/ojstatbb/ezaco/."
